outer_fold,round_name,pipeline_recipe_id,feature_recipe_id,prescreen_recipe_id,prescreen_name,prescreen_methods,rank_aggregation,feature_size,selected_features_text,candidate_heuristic_score,model_spec_id,base_model_family,model_kind,model_params,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,inner_oof_n_predictions,inner_oof_selected_rate,inner_oof_tp_at_optimal_k,inner_oof_fp_at_optimal_k,feature_penalty,gross_score,expected_inner_oof_predictions,missing_inner_oof_predictions,inner_fold_count,expected_inner_fold_count,missing_inner_fold_count,missing_inner_folds,mean_duration_seconds,manifest_checked,status,baseline_random_score_features_0_business_score,baseline_select_all_capped_features_0_business_score,baseline_select_all_capped_features_1_business_score,baseline_select_all_illegal_full_features_0_business_score,baseline_select_all_illegal_full_features_1_business_score,beats_baseline_select_all_capped_features_0,beats_baseline_select_all_capped_features_1,beats_baseline_select_all_illegal_full_features_0,beats_baseline_select_all_illegal_full_features_1
1,round2_model_hpo_selection,ps_mean_0005__k_007__ebm_additive_deep01,ps_mean_0005__k_007,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,7,"var_159,var_175,var_190,var_214,var_254,var_341,var_379",0.9939879759519038,ebm_additive_deep01,ebm_additive,classifier,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 3000, ""outer_bags"": 4}",5075.0,1000,0.5115346038114342,0.7251824349443077,4000,0.25,765,235,1400.0,6475.0,4000,0,5,5,0,,2.3156743966042996,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_007__extra_trees_small_deep05,ps_mean_0005__k_007,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,7,"var_159,var_175,var_190,var_214,var_254,var_341,var_379",0.9939879759519038,extra_trees_small_deep05,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""min_samples_leaf"": 24, ""n_estimators"": 500}",5075.0,1000,0.5115346038114342,0.7190990617560007,4000,0.25,765,235,1400.0,6475.0,4000,0,5,5,0,,1.44447947666049,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep08,ps_mean_0007__k_008,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,8,"var_175,var_190,var_214,var_254,var_341,var_379,var_389,var_482",0.9929859719438878,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",5070.0,997,0.5202273487128052,0.7360434048789488,4000,0.24925,777,220,1600.0,6670.0,4000,0,5,5,0,,1.4328309923410416,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_007__extra_trees_small_deep03,ps_mean_0005__k_007,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,7,"var_159,var_175,var_190,var_214,var_254,var_341,var_379",0.9939879759519038,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5070.0,992,0.5108950720750922,0.7194438187373295,4000,0.248,762,230,1400.0,6470.0,4000,0,5,5,0,,1.4076954767107963,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,"var_175,var_190,var_214,var_254,var_341,var_379",0.9949899799599198,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",5070.0,999,0.5023411371237458,0.6964178524615124,4000,0.24975,751,248,1200.0,6270.0,4000,0,5,5,0,,1.21168357655406,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_007__extra_trees_small_deep04,ps_mean_0005__k_007,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,7,"var_159,var_175,var_190,var_214,var_254,var_341,var_379",0.9939879759519038,extra_trees_small_deep04,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",5060.0,1000,0.5108659311267134,0.7202030841124533,4000,0.25,764,236,1400.0,6460.0,4000,0,5,5,0,,1.381410114467144,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_005__ebm_additive_deep01,ps_mean_0005__k_005,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,5,"var_190,var_214,var_254,var_341,var_379",0.9959919839679359,ebm_additive_deep01,ebm_additive,classifier,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 3000, ""outer_bags"": 4}",5060.0,999,0.49297658862876254,0.6874321705014527,4000,0.24975,737,262,1000.0,6060.0,4000,0,5,5,0,,1.7770943745970726,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_005__ebm_additive_deep03,ps_mean_0005__k_005,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,5,"var_190,var_214,var_254,var_341,var_379",0.9959919839679359,ebm_additive_deep03,ebm_additive,classifier,"{""interactions"": 2, ""max_bins"": 64, ""max_rounds"": 3000, ""outer_bags"": 4}",5055.0,997,0.4928117686392511,0.6870441626442935,4000,0.24925,736,261,1000.0,6055.0,4000,0,5,5,0,,5.489252940565348,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0007__k_007__extra_trees_small_deep05,ps_mean_0007__k_007,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,7,"var_175,var_190,var_214,var_254,var_341,var_379,var_482",0.9939879759519038,extra_trees_small_deep05,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""min_samples_leaf"": 24, ""n_estimators"": 500}",5045.0,1000,0.5101972584419926,0.7141627117949139,4000,0.25,763,237,1400.0,6445.0,4000,0,5,5,0,,1.672326672077179,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_008__ebm_additive_deep01,ps_mean_0005__k_008,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,8,"var_116,var_159,var_175,var_190,var_214,var_254,var_341,var_379",0.9929859719438877,ebm_additive_deep01,ebm_additive,classifier,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 3000, ""outer_bags"": 4}",5040.0,1000,0.5188900033433634,0.7387937105726391,4000,0.25,776,224,1600.0,6640.0,4000,0,5,5,0,,2.8794136568903923,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
