outer_fold,round_name,pipeline_recipe_id,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,inner_oof_n_predictions,inner_oof_selected_rate,selected_features_text,feature_size,prescreen_name,base_model_family,model_spec_id,inner_fold_count,expected_inner_oof_predictions,missing_inner_oof_predictions,expected_inner_fold_count,missing_inner_fold_count,manifest_checked,feature_recipe_id,prescreen_recipe_id,prescreen_methods,rank_aggregation,model_kind,model_params,feature_penalty,gross_score,inner_oof_tp_at_optimal_k,inner_oof_fp_at_optimal_k,baseline_select_all_capped_features_0_business_score,baseline_select_all_capped_features_1_business_score,baseline_select_all_illegal_full_features_0_business_score,baseline_select_all_illegal_full_features_1_business_score,beats_baseline_select_all_capped_features_0,beats_baseline_select_all_capped_features_1,beats_baseline_select_all_illegal_full_features_0,beats_baseline_select_all_illegal_full_features_1,inner_selection_rank
2,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep03,4995.0,1000.0,0.516883985289201,0.7210491012443002,4000,0.25,"var_175,var_190,var_214,var_254,var_261,var_341,var_379,var_482",8,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep03,5,4000,0,5,0,True,ps_mean_0007__k_008,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",1600.0,6595.0,773.0,227.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,1
2,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep02,4970.0,999.0,0.5157190635451506,0.7202078342086426,4000,0.24975,"var_175,var_190,var_214,var_254,var_261,var_341,var_379,var_482",8,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_008,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1600.0,6570.0,771.0,228.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,2
2,round2_model_hpo_selection,ps_mean_0052__k_006__extra_trees_small_deep01,4960.0,1000.0,0.4974924774322968,0.6785812412701357,4000,0.25,"var_159,var_175,var_190,var_308,var_379,var_389",6,triple__mutual_info+lightgbm_gain+ebm,extra_trees_small,extra_trees_small_deep01,5,4000,0,5,0,True,ps_mean_0052__k_006,ps_mean_0052,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",1200.0,6160.0,744.0,256.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,3
2,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep08,4950.0,1000.0,0.5148779672350384,0.7192155641151734,4000,0.25,"var_175,var_190,var_214,var_254,var_261,var_341,var_379,var_482",8,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep08,5,4000,0,5,0,True,ps_mean_0007__k_008,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",1600.0,6550.0,770.0,230.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,4
2,round2_model_hpo_selection,ps_mean_0052__k_006__xgboost_classifier_deep04,4950.0,996.0,0.496823804747576,0.6884111903266041,4000,0.249,"var_159,var_175,var_190,var_308,var_379,var_389",6,triple__mutual_info+lightgbm_gain+ebm,xgboost_classifier,xgboost_classifier_deep04,5,4000,0,5,0,True,ps_mean_0052__k_006,ps_mean_0052,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,classifier,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 300, ""scale_pos_weight_multiplier"": 1.2}",1200.0,6150.0,742.0,254.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,5
2,round2_model_hpo_selection,ps_mean_0052__k_006__xgboost_classifier_deep03,4925.0,995.0,0.4956463496316142,0.6882389368384709,4000,0.24875,"var_159,var_175,var_190,var_308,var_379,var_389",6,triple__mutual_info+lightgbm_gain+ebm,xgboost_classifier,xgboost_classifier_deep03,5,4000,0,5,0,True,ps_mean_0052__k_006,ps_mean_0052,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",1200.0,6125.0,740.0,255.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,6
2,round2_model_hpo_selection,ps_mean_0052__k_006__extra_trees_small_deep02,4925.0,992.0,0.4954743546765002,0.6802312746833123,4000,0.248,"var_159,var_175,var_190,var_308,var_379,var_389",6,triple__mutual_info+lightgbm_gain+ebm,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0052__k_006,ps_mean_0052,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1200.0,6125.0,739.0,253.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,7
2,round2_model_hpo_selection,ps_mean_0052__k_006__xgboost_classifier_deep06,4915.0,997.0,0.4953145917001338,0.6870644130543644,4000,0.24925,"var_159,var_175,var_190,var_308,var_379,var_389",6,triple__mutual_info+lightgbm_gain+ebm,xgboost_classifier,xgboost_classifier_deep06,5,4000,0,5,0,True,ps_mean_0052__k_006,ps_mean_0052,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,classifier,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 420, ""scale_pos_weight_multiplier"": 1.5}",1200.0,6115.0,740.0,257.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,8
2,round2_model_hpo_selection,ps_mean_0052__k_006__extra_trees_small_deep08,4915.0,1000.0,0.4954864593781344,0.6805527811938191,4000,0.25,"var_159,var_175,var_190,var_308,var_379,var_389",6,triple__mutual_info+lightgbm_gain+ebm,extra_trees_small,extra_trees_small_deep08,5,4000,0,5,0,True,ps_mean_0052__k_006,ps_mean_0052,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",1200.0,6115.0,741.0,259.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,9
2,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep05,4905.0,1000.0,0.512871949180876,0.7196790735012384,4000,0.25,"var_175,var_190,var_214,var_254,var_261,var_341,var_379,var_482",8,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep05,5,4000,0,5,0,True,ps_mean_0007__k_008,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""min_samples_leaf"": 24, ""n_estimators"": 500}",1600.0,6505.0,767.0,233.0,2215.0,2015.0,9865.0,9665.0,1.0,1.0,0.0,0.0,10
