outer_fold,round_name,prescreen_recipe_id,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,inner_oof_n_predictions,inner_oof_selected_rate,selected_features_text,feature_size,prescreen_name,base_model_family,model_spec_id,inner_fold_count,expected_inner_oof_predictions,missing_inner_oof_predictions,expected_inner_fold_count,missing_inner_fold_count,manifest_checked,feature_recipe_id,pipeline_recipe_id,prescreen_methods,rank_aggregation,model_kind,model_params,feature_penalty,gross_score,inner_oof_tp_at_optimal_k,inner_oof_fp_at_optimal_k,baseline_select_all_capped_features_0_business_score,baseline_select_all_capped_features_1_business_score,baseline_select_all_illegal_full_features_0_business_score,baseline_select_all_illegal_full_features_1_business_score,beats_baseline_select_all_capped_features_0,beats_baseline_select_all_capped_features_1,beats_baseline_select_all_illegal_full_features_0,beats_baseline_select_all_illegal_full_features_1,inner_selection_rank
1,round1_prescreen_feature_screen,ps_mean_0005,4259.0,994.6,0.44816361347796746,0.6284601513180641,4000,0.24864999999999998,"var_190,var_214,var_254,var_341",4,single__lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0005__k_004,ps_mean_0005__k_004__extra_trees_small_deep02,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",800.0,5059.0,668.8,325.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,11
1,round1_prescreen_feature_screen,ps_mean_0005,4254.0,998.4,0.49274503555258864,0.7025729271017738,4000,0.2496,"var_116,var_159,var_175,var_190,var_214,var_226,var_254,var_341,var_379",9,single__lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0005__k_009,ps_mean_0005__k_009__extra_trees_small_deep02,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1800.0,6054.0,736.4,262.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,12
1,round1_prescreen_feature_screen,ps_mean_0007,4247.0,999.8,0.49244491557168724,0.6995748663910444,4000,0.24994999999999998,"var_175,var_190,var_214,var_226,var_254,var_341,var_379,var_389,var_482",9,single__sparse_gam_spam,lightgbm_classifier,lightgbm_classifier_deep03,5,4000,0,5,0,True,ps_mean_0007__k_009,ps_mean_0007__k_009__lightgbm_classifier_deep03,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""min_child_samples"": 20, ""n_estimators"": 260, ""num_leaves"": 15, ""scale_pos_weight_multiplier"": 1.0}",1800.0,6047.0,736.4,263.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,13
1,round1_prescreen_feature_screen,ps_mean_0006,4247.0,998.8,0.47458032610856726,0.6740069986417225,4000,0.24969999999999998,"var_116,var_190,var_214,var_254,var_341,var_379,var_389",7,single__ebm,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0006__k_007,ps_mean_0006__k_007__extra_trees_small_deep02,"[""ebm""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1400.0,5647.0,709.4,289.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,14
1,round1_prescreen_feature_screen,ps_mean_0020,4235.0,998.6,0.46516002858072547,0.6573024603748225,4000,0.24965,"var_175,var_190,var_223,var_254,var_328,var_389",6,pair__abs_corr+sparse_gam_spam,xgboost_classifier,xgboost_classifier_deep03,5,4000,0,5,0,True,ps_mean_0020__k_006,ps_mean_0020__k_006__xgboost_classifier_deep03,"[""abs_corr"", ""sparse_gam_spam""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",1200.0,5435.0,695.2,303.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,15
1,round1_prescreen_feature_screen,ps_mean_0007,4209.0,998.6,0.446080624417389,0.6337752589489937,4000,0.24965,"var_175,var_190,var_214,var_254",4,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_004,ps_mean_0007__k_004__extra_trees_small_deep02,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",800.0,5009.0,666.8,331.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,16
1,round1_prescreen_feature_screen,ps_mean_0052,4203.0,998.8,0.48153852862936636,0.6829067288612594,4000,0.24969999999999998,"var_159,var_175,var_190,var_214,var_254,var_264,var_31,var_328",8,triple__mutual_info+lightgbm_gain+ebm,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0052__k_008,ps_mean_0052__k_008__extra_trees_small_deep02,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1600.0,5803.0,719.8,279.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,17
1,round1_prescreen_feature_screen,ps_mean_0012,4201.0,994.4,0.4545162538156161,0.6404286436800345,4000,0.2486,"var_159,var_190,var_264,var_31,var_54",5,pair__mutual_info+lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0012__k_005,ps_mean_0012__k_005__extra_trees_small_deep02,"[""mutual_info"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1000.0,5201.0,678.2,316.2,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,18
1,round1_prescreen_feature_screen,ps_mean_0014,4197.0,999.8,0.44563331018697117,0.6275249323798807,4000,0.24994999999999998,"var_175,var_190,var_214,var_328",4,pair__mutual_info+sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0014__k_004,ps_mean_0014__k_004__extra_trees_small_deep02,"[""mutual_info"", ""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",800.0,4997.0,666.4,333.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,19
1,round1_prescreen_feature_screen,ps_mean_0018,4176.0,994.8,0.4355735709988936,0.6170428451176135,4000,0.2487,"var_10,var_254,var_389",3,pair__abs_corr+lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0018__k_003,ps_mean_0018__k_003__extra_trees_small_deep02,"[""abs_corr"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",600.0,4776.0,650.0,344.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,20
1,round1_prescreen_feature_screen,ps_mean_0006,4175.0,998.4,0.4802672678834757,0.6837222953764813,4000,0.2496,"var_116,var_190,var_214,var_226,var_254,var_341,var_379,var_389",8,single__ebm,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0006__k_008,ps_mean_0006__k_008__extra_trees_small_deep02,"[""ebm""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1600.0,5775.0,717.8,280.6,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,21
1,round1_prescreen_feature_screen,ps_mean_0018,4167.0,996.6,0.4619015109957541,0.6551824674449658,4000,0.24914999999999998,"var_10,var_175,var_190,var_254,var_328,var_389",6,pair__abs_corr+lightgbm_gain,lightgbm_classifier,lightgbm_classifier_deep03,5,4000,0,5,0,True,ps_mean_0018__k_006,ps_mean_0018__k_006__lightgbm_classifier_deep03,"[""abs_corr"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""min_child_samples"": 20, ""n_estimators"": 260, ""num_leaves"": 15, ""scale_pos_weight_multiplier"": 1.0}",1200.0,5367.0,690.0,306.6,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,22
1,round1_prescreen_feature_screen,ps_mean_0018,4164.0,998.2,0.45298007097215287,0.6375080345376993,4000,0.24955,"var_10,var_175,var_254,var_328,var_389",5,pair__abs_corr+lightgbm_gain,xgboost_classifier,xgboost_classifier_deep03,5,4000,0,5,0,True,ps_mean_0018__k_005,ps_mean_0018__k_005__xgboost_classifier_deep03,"[""abs_corr"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",1000.0,5164.0,677.0,321.2,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,23
1,round1_prescreen_feature_screen,ps_mean_0006,4152.0,999.6,0.46144813385176164,0.6588391664931215,4000,0.2499,"var_190,var_214,var_254,var_341,var_379,var_389",6,single__ebm,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0006__k_006,ps_mean_0006__k_006__extra_trees_small_deep02,"[""ebm""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1200.0,5352.0,690.0,309.6,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,24
1,round1_prescreen_feature_screen,ps_mean_0012,4131.0,997.2,0.46041418095387543,0.650407695755839,4000,0.2493,"var_159,var_190,var_214,var_264,var_31,var_54",6,pair__mutual_info+lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0012__k_006,ps_mean_0012__k_006__extra_trees_small_deep02,"[""mutual_info"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1200.0,5331.0,687.8,309.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,25
1,round1_prescreen_feature_screen,ps_mean_0012,4131.0,999.6,0.43375998408966165,0.6118735904402064,4000,0.2499,"var_159,var_190,var_31",3,pair__mutual_info+lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0012__k_003,ps_mean_0012__k_003__extra_trees_small_deep02,"[""mutual_info"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",600.0,4731.0,648.6,351.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,26
1,round1_prescreen_feature_screen,ps_mean_0019,4127.0,997.4,0.4602979185549737,0.6487830128560104,4000,0.24935000000000002,"var_175,var_190,var_198,var_254,var_328,var_389",6,pair__abs_corr+ebm,xgboost_classifier,xgboost_classifier_deep03,5,4000,0,5,0,True,ps_mean_0019__k_006,ps_mean_0019__k_006__xgboost_classifier_deep03,"[""abs_corr"", ""ebm""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",1200.0,5327.0,687.6,309.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,27
